ID,Code,Sp_Code
2,A,A
10,M,B
13,N,C
16,O,D
23,S,E
27,E,F
35,F,G
39,E,F
41,Z,H
49,AD,I
50,C,J
53,AF,K
57,AG,L
63,H,M
65,B,N
74,AM,O
78,D,P
81,A,A
5,J,Q
17,O,R
31,F,S
33,U,T
43,G,U
54,AF,V
58,AG,W
61,H,X
69,AJ,Y
75,AM,Z
82,A,AA
86,AP,AB
1,I,AV
3,A,AC
6,J,AW
8,K,AX
9,L,AY
11,M,AZ
15,C,AP
18,O,BA
20,P,BB
21,Q,BC
24,S,BD
26,D,AQ
28,F,AS
34,V,BE
37,X,BF
38,Y,BG
40,E,AR
42,Z,BH
44,G,AT
45,G,AT
46,AA,AD
47,AB,AE
51,C,AP
52,AE,AF
55,AF,AG
59,AG,AH
62,AH,AI
64,H,AU
66,B,AO
70,AK,AJ
71,B,AO
72,AL,AK
76,AM,AL
77,AN,AM
79,D,AQ
83,A,AC
84,AO,AN
4,A,BI
7,J,BJ
12,M,BK
14,N,BL
19,O,BM
22,R,BN
25,S,BO
29,B,BP
30,B,BP
32,T,BQ
36,W,BR
48,AC,BS
56,AF,BT
60,AG,BU
67,B,BP
68,AI,BV
73,AL,BW
80,D,BX
85,A,BI
87,AP,BY